pl_name,pl_letter,hostname,hd_name,hip_name,sy_dist,pl_orbsmax,pl_orbper,pl_orbeccen,pl_rade,pl_bmasse,pl_eqt,discoverymethod,disc_year,ra,dec
"Proxima Cen b","b","Proxima Cen",,"HIP 70890",1.30119000,0.0484800000,11.18465000000,0.000000,1.02000000,1.05500000,218.00,"Radial Velocity",2016,217.3934657,-62.6761821
"Proxima Cen d","d","Proxima Cen",,"HIP 70890",1.30119000,0.0288100000,5.12338000000,0.000000,0.69200000,0.26000000,282.00,"Radial Velocity",2025,217.3934657,-62.6761821
"Barnard b","b","Barnard's star",,"HIP 87937",1.82655000,0.0229000000,3.15420000000,0.030000,0.72000000,0.29900000,438.00,"Radial Velocity",2024,269.4486144,4.7379808
"Barnard c","c","Barnard's star",,"HIP 87937",1.82655000,0.0274000000,4.12440000000,0.080000,0.74300000,0.33500000,400.00,"Radial Velocity",2025,269.4486144,4.7379808
"Barnard d","d","Barnard's star",,"HIP 87937",1.82655000,0.0188000000,2.34020000000,0.040000,0.69400000,0.26300000,483.00,"Radial Velocity",2025,269.4486144,4.7379808
"Barnard e","e","Barnard's star",,"HIP 87937",1.82655000,0.0381000000,6.73920000000,0.040000,0.63700000,0.19300000,340.00,"Radial Velocity",2025,269.4486144,4.7379808
"eps Eri b","b","eps Eri","HD 22049","HIP 16537",3.20260000,3.5300000000,2671.00000000000,0.070000,14.10000000,209.76674862,,"Radial Velocity",2000,53.2284306,-9.4581715
"GJ 887 b","b","GJ 887","HD 217987","HIP 114046",3.28679000,0.0683000000,9.26190000000,0.140000,1.80000000,3.90000000,426.00,"Radial Velocity",2020,346.5027573,-35.8473489
"GJ 887 c","c","GJ 887","HD 217987","HIP 114046",3.28679000,0.1210000000,21.78400000000,0.170000,2.43000000,6.50000000,320.00,"Radial Velocity",2020,346.5027573,-35.8473489
"GJ 887 d","d","GJ 887","HD 217987","HIP 114046",3.28679000,0.2120000000,50.77000000000,,2.34000000,6.10000000,241.00,"Radial Velocity",2026,346.5027573,-35.8473489
"GJ 887 e","e","GJ 887","HD 217987","HIP 114046",3.28679000,0.0417000000,4.42490000000,,1.12000000,1.46000000,544.00,"Radial Velocity",2026,346.5027573,-35.8473489
"Ross 128 b","b","Ross 128",,"HIP 57548",3.37454000,0.0496000000,9.86580000000,0.116000,1.11000000,1.40000000,301.00,"Radial Velocity",2017,176.9376036,0.7992898
"Gl 725 A b","b","Gl 725 A","HD 173739","HIP 91768",3.52140000,0.0680000000,11.22010000000,0.000000,1.48000000,2.78000000,,"Radial Velocity",2025,280.6834312,59.6381090
"GJ 15 A b","b","GJ 15 A","HD 1326","HIP 1475",3.56228000,0.0720000000,11.44070000000,0.094000,1.55000000,3.03000000,550.00,"Radial Velocity",2014,4.6126677,44.0247296
"GJ 15 A c","c","GJ 15 A","HD 1326","HIP 1475",3.56228000,5.4000000000,7600.00000000000,0.270000,6.67000000,36.00000000,,"Radial Velocity",2018,4.6126677,44.0247296
"tau Cet f","f","tau Cet","HD 10700","HIP 8102",3.60304000,1.3340000000,636.13000000000,0.160000,1.81000000,3.93000000,,"Radial Velocity",2017,26.0093029,-15.9337987
